entity_name,entity_id,active,comment

Substring,2696560,true
Big O notation,44578,true
Bit,3364, true
Logarithm,17860,true
File format,18933600,true
User (computing),16301990,true
Vertex (graph theory),638899,true
Time complexity,405944,true
Computer file,7077,true
Idea,161999,true
Phrase (music),52804768,true

Symbol,37673,true
Pi,23601,true
Symbol (formal),24028642,true
Property (philosophy),508057,true

Paper,16861908,true
Set (mathematics),26691,true
Input/output,22393474,true
Effectiveness,1982403,true

Year 2000 problem, 25739013,true
Programmer,23716,true
